name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,icon
Kepler-480 b,2765.0,13.23,Neptune-like,2016,8.15,Earth,0.248,Jupiter,0.0605,0.013415469,0.0,Transit,np
Kepler-481 b,2654.0,14.054,Neptune-like,2016,6.8,Earth,0.223,Jupiter,0.0894,0.027652293,0.0,Transit,np
Kepler-482 b,1021.0,14.049,Neptune-like,2016,6.17,Earth,0.211,Jupiter,0.2537,0.15441479,0.0,Transit,np
Kepler-483 b,2806.0,13.452,Neptune-like,2016,10.4,Earth,0.286,Jupiter,0.2072,0.082683094,0.0,Transit,np
Kepler-484 b,1247.0,13.077,Neptune-like,2016,5.82,Earth,0.203,Jupiter,0.0896,0.027378507,0.0,Transit,np
Kepler-488 b,3736.0,14.868,Gas Giant,2016,124.0,Jupiter,1.409,Jupiter,0.0428,0.008487337,0.0,Transit,jupi
Kepler-489 b,1206.0,14.221,Gas Giant,2016,0.145,Jupiter,0.689,Jupiter,0.1209,0.047364816,0.0,Transit,jupi
Kepler-490 b,4968.0,14.843,Gas Giant,2016,,,1.039,Jupiter,0.0453,0.009034907,0.0,Transit,jupi
Kepler-491 b,2058.0,14.178,Gas Giant,2016,0.186,Jupiter,0.796,Jupiter,0.0516,0.011498973,0.0,Transit,jupi
Kepler-493 b,5695.0,15.268,Gas Giant,2016,118.0,Jupiter,1.35,Jupiter,0.0439,0.008213553,0.0,Transit,jupi
Kepler-495 c,2149.0,14.942,Super Earth,2021,1.98,Earth,1.219,Earth,0.0614,0.01615332,0.0,Transit,sat
Kepler-496 b,1974.0,15.106,Neptune-like,2016,5.99,Earth,0.207,Jupiter,0.0747,0.022724163,0.0,Transit,np
Kepler-497 b,4214.0,14.95,Neptune-like,2016,30.4,Earth,0.539,Jupiter,0.0457,0.009856262,0.0,Transit,np
Kepler-498 b,3063.0,14.349,Neptune-like,2016,9.43,Earth,0.27,Jupiter,0.0897,0.026283368,0.0,Transit,np
Kepler-4 b,1592.0,12.285,Neptune-like,2009,24.472,Earth,0.357,Jupiter,0.0456,0.008761123,0.0,Transit,np
Kepler-500 b,2634.0,14.324,Neptune-like,2016,7.18,Earth,0.23,Jupiter,0.0806,0.023271732,0.0,Transit,np
Kepler-501 c,3671.0,14.886,Super Earth,2021,3.47,Earth,1.681,Earth,0.0467,0.009856262,0.0,Transit,sat
Kepler-502 b,5190.0,15.136,Neptune-like,2016,20.4,Earth,0.426,Jupiter,0.0535,0.011772759,0.0,Transit,np
Kepler-504 b,323.0,15.143,Super Earth,2016,3.15,Earth,1.59,Earth,0.0646,0.026009582,0.0,Transit,sat
Kepler-506 b,745.0,11.094,Neptune-like,2016,7.9,Earth,0.244,Jupiter,0.075,0.01889117,0.0,Transit,np
Kepler-507 b,1278.0,12.197,Super Earth,2016,2.24,Earth,1.3,Earth,0.0473,0.009856262,0.0,Transit,sat
Kepler-509 b,1084.0,11.848,Neptune-like,2016,6.76,Earth,0.222,Jupiter,0.2384,0.11416838,0.0,Transit,np
Kepler-50 c,816.0,10.544,Neptune-like,2012,8.2,Earth,2.17,Earth,0.087,0.025735795,0.0,Transit,np
Kepler-511 c,2127.0,12.711,Neptune-like,2021,16.5,Earth,0.376,Jupiter,0.1722,0.07282683,0.0,Transit,np
Kepler-513 b,1527.0,13.019,Neptune-like,2016,5.48,Earth,2.2,Earth,0.1789,0.079123884,0.0,Transit,np
Kepler-514 b,1485.0,12.273,Super Earth,2016,3.61,Earth,1.72,Earth,0.0676,0.015605749,0.0,Transit,sat
Kepler-515 b,832.0,12.913,Super Earth,2016,2.73,Earth,1.46,Earth,0.1333,0.054757014,0.0,Transit,sat
Kepler-517 b,946.0,12.372,Neptune-like,2016,7.61,Earth,0.238,Jupiter,0.2897,0.16673511,0.0,Transit,np
Kepler-518 b,1102.0,12.573,Neptune-like,2016,5.1,Earth,2.11,Earth,0.081,0.023271732,0.0,Transit,np
Kepler-51 d,2557.0,14.885,Neptune-like,2014,7.6,Earth,0.865,Jupiter,0.509,0.35646817,0.01,Transit,np
Kepler-520 c,2035.0,12.798,Super Earth,2016,1.24,Earth,1.07,Earth,0.0594,0.014236824,0.0,Transit,sat
Kepler-522 b,2085.0,12.22,Gas Giant,2016,38.2,Earth,0.616,Jupiter,0.2551,0.10568104,0.0,Transit,jupi
Kepler-523 b,826.0,12.588,Super Earth,2016,4.5,Earth,1.96,Earth,0.0606,0.015879534,0.0,Transit,sat
Kepler-524 c,3452.0,14.082,Terrestrial,2016,0.84,Earth,0.96,Earth,0.0303,0.005201916,0.0,Transit,mars
Kepler-525 b,3239.0,13.613,Neptune-like,2016,7.41,Earth,0.235,Jupiter,0.1396,0.051197812,0.0,Transit,np
Kepler-526 b,2173.0,13.194,Super Earth,2016,4.62,Earth,1.99,Earth,0.064,0.015058179,0.0,Transit,sat
Kepler-527 b,2447.0,13.471,Neptune-like,2016,8.45,Earth,0.253,Jupiter,0.1179,0.036413416,0.0,Transit,np
Kepler-528 b,2558.0,14.064,Super Earth,2016,4.98,Earth,2.08,Earth,0.1409,0.054209445,0.0,Transit,sat
Kepler-529 d,2606.0,13.779,Neptune-like,2021,8.22,Earth,0.249,Jupiter,0.2134,0.09828885,0.0,Transit,np
Kepler-52 d,1049.0,15.513,Super Earth,2014,4.46,Earth,1.95,Earth,0.182,0.099657774,0.0,Transit,sat
Kepler-530 b,1493.0,13.502,Neptune-like,2016,9.32,Earth,0.269,Jupiter,0.2212,0.10759754,0.0,Transit,np
Kepler-531 b,825.0,13.566,Neptune-like,2016,8.15,Earth,0.248,Jupiter,0.1694,0.081861734,0.0,Transit,np
Kepler-532 b,1020.0,13.74,Neptune-like,2016,7.13,Earth,0.229,Jupiter,0.1012,0.035318274,0.0,Transit,np
Kepler-534 c,1861.0,13.387,Super Earth,2021,2.02,Earth,1.227,Earth,0.0761,0.020260096,0.0,Transit,sat
Kepler-535 b,2236.0,13.209,Neptune-like,2016,6.17,Earth,0.211,Jupiter,0.0594,0.013415469,0.0,Transit,np
Kepler-536 b,1508.0,14.032,Neptune-like,2016,9.8,Earth,0.277,Jupiter,0.0276,0.004928131,0.0,Transit,np
Kepler-537 b,1433.0,13.173,Super Earth,2016,2.57,Earth,1.41,Earth,0.0442,0.008761123,0.0,Transit,sat
Kepler-538 b,509.0,11.27,Super Earth,2016,10.6,Earth,2.215,Earth,0.4669,0.2236824,0.04,Transit,sat
Kepler-539 c,1002.0,12.444,Gas Giant,2016,2.4,Jupiter,1.18,Jupiter,2.42,2.7,0.5,Transit Timing Variations,jupi
Kepler-53 d,4456.0,15.367,Neptune-like,2014,5.14,Earth,2.12,Earth,0.091,0.026830938,0.0,Transit,np
Kepler-541 b,3460.0,13.383,Neptune-like,2016,11.2,Earth,0.3,Jupiter,0.0641,0.013963039,0.0,Transit,np
Kepler-542 b,1422.0,13.606,Super Earth,2016,3.09,Earth,1.57,Earth,0.1038,0.035865847,0.0,Transit,sat
Kepler-543 b,724.0,13.598,Neptune-like,2016,6.8,Earth,0.223,Jupiter,0.098,0.038056124,0.0,Transit,np
Kepler-544 b,3142.0,13.667,Neptune-like,2016,5.14,Earth,2.12,Earth,0.1553,0.058590006,0.0,Transit,np
Kepler-545 b,2668.0,14.205,Neptune-like,2016,7.7,Earth,0.24,Jupiter,0.1087,0.03613963,0.0,Transit,np
Kepler-546 b,3326.0,14.325,Gas Giant,2016,39.1,Earth,0.624,Jupiter,0.0502,0.011225188,0.0,Transit,jupi
Kepler-547 b,1236.0,14.48,Neptune-like,2016,15.1,Earth,0.357,Jupiter,0.058,0.016427105,0.0,Transit,np
Kepler-548 b,2452.0,15.266,Gas Giant,2016,,,1.07,Jupiter,0.0495,0.0123203285,0.0,Transit,jupi
Kepler-549 c,2072.0,14.805,Neptune-like,2016,8.91,Earth,0.261,Jupiter,0.4453,0.32032853,0.0,Transit,np
Kepler-54 d,886.0,16.282,Super Earth,2014,2.96,Earth,1.53,Earth,0.126,0.057494868,0.0,Transit,sat
Kepler-550 b,1735.0,14.626,Neptune-like,2016,17.9,Earth,0.394,Jupiter,0.0747,0.023545519,0.0,Transit,np
Kepler-551 b,1015.0,15.278,Neptune-like,2016,7.9,Earth,0.244,Jupiter,0.0893,0.03394935,0.0,Transit,np
Kepler-552 b,2752.0,14.476,Neptune-like,2016,14.8,Earth,0.352,Jupiter,0.0612,0.01451061,0.0,Transit,np
Kepler-553 c,2376.0,15.034,Gas Giant,2016,,,0.999,Jupiter,0.9084,0.89856267,0.0,Transit,jupi
Kepler-554 b,2252.0,14.49,Neptune-like,2016,17.0,Earth,0.383,Jupiter,0.0293,0.005201916,0.0,Transit,np
Kepler-555 b,3174.0,14.448,Neptune-like,2016,8.4,Earth,0.252,Jupiter,0.1201,0.044353183,0.0,Transit,np
